team,location,kit_supplier,shirt_sponsor,stadium,capacity
Abia Warriors F.C.,Umuahia,Owu,Eunisell,Umuahia Township Stadium,"5,000"
Akwa United F.C.,Uyo,Owu,1xBet,Godswill Akpabio Stadium,"30,000"
Bayelsa United F.C.,Yenagoa,GDF,,Samson Siasia Stadium,"5,000"
Bendel Insurance F.C.,Benin City,Fourteen,Sterling Bank,Samuel Ogbemudia Stadium,"12,000"
El-Kanemi Warriors F.C.,Maiduguri,nan,nan,El-Kanemi Stadium,"10,000"
Enugu Rangers F.C.,Enugu,Cone Sport,"Afrinvest,Shopurban, Senior Barman",Nnamdi Azikiwe Stadium,"22,000"
Enyimba F.C.,Aba,KK,"Stake.com,United Nigeria Airlines",Enyimba International Stadium,"16,000"
Heartland F.C.,Owerri,,,Dan Anyiam Stadium,"10,000"
Ikorodu City F.C.,"Ikorodu,Lagos",nan,nan,Onikan Stadium,"10,000"
Kano Pillars F.C.,Kano,Play,Rambo,Muhammadu Dikko Stadium,"35,000"
Katsina United F.C.,Katsina,Owu,,nan,nan
Kwara United F.C.,Ilorin,Owu,,Kwara State Stadium,"18,000"
Lobi Stars F.C.,Makurdi,Owu,,Lafia Township Stadium,"10,000"
Nasarawa United F.C.,Lafia,nan,nan,nan,nan
Niger Tornadoes F.C.,Minna,Cone Sport,,Bako Kontagora Stadium,"5,000"
Plateau United F.C.,Jos,Kapspor,,New Jos Stadium,"44,000"
Remo Stars F.C.,Ikenne,Cone Sport,Bet9ja,Remo Stars Stadium,"5,000"
Rivers United F.C.,Port Harcourt,Owu,,Adokiye Amiesimaka Stadium,"40,000"
Shooting Stars F.C.,Ibadan,Cone Sport,Peculiar,Lekan Salami Stadium,"15,000"
Sunshine Stars F.C.,Akure,Cone Sport,,Dipo Dina International Stadium,"20,000"
